Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Weight(kg)
BMW,M5 CS,V8,"4,395 ",627,305,3.0,"142,000 ",Petrol,5,750,1750
BMW,M4 GTS,I6,"2,993 ",493,305,3.7,"133,000 ",Petrol,4,600,1500
BMW,M3 COMPETITION,I6,"2,993 ",503,285,3.5,"76,000 ",Petrol,5,650,1550
BMW,M2 CS,I6,"2,993 ",444,280,4.0,"83,000 ",Petrol,4,550,1500
BMW,X5 M COMPETITION,V8,"4,935 ",523,285,4.1,"114,000 ",Petrol,5,750,2100
BMW,X3 M COMPETITION,I6,"2,993 ",503,285,4.1,"69,000 ",Petrol,5,650,1900
BMW,M8 GRAN COUPE,V8,"4,395 ",523,305,3.3,"146,000 ",Petrol,5,750,1750
BMW,M850i DRIVE COUPE,V8,"4,935 ",523,285,3.7,"108,000 ",Petrol,4,750,1700
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,"6,592 ",563,250,4.8,"398,000 ",Petrol,4,840,2450
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,"6,749 ",563,250,5.1,"381,000 ",Petrol,5,850,2850
ROLLS ROYCE,PHATOM TRANQUILITY,V12,"6,749 ",563,250,5.3,"475,000 ",Petrol,5,900,2500
ROLLS ROYCE,GHOST ZENITH,V12,"6,749 ",563,250,4.9,"335,000 ",Petrol,5,900,2500
ROLLS ROYCE,WRAITH EAGLE VIII,V12,"6,592 ",623,250,4.5,"349,000 ",Petrol,4,800,2800
ROLLS ROYCE,PHATOM ORCHID,V12,"6,749 ",563,250,5.3,"495,000 ",Petrol,5,900,2500
ROLLS ROYCE,GHOST AZURE,V12,"6,749 ",563,250,4.9,"355,000 ",Petrol,5,900,2500
ROLLS ROYCE,WRAITH KRYPTOS,V12,"6,592 ",623,250,4.5,"369,000 ",Petrol,4,800,2450
ROLLS ROYCE,DAWN SILVER BULLET,V12,"6,592 ",563,250,4.8,"418,000 ",Petrol,4,840,2450
ROLLS ROYCE,CULLINAN FUX ORANGE,V12,"6,749 ",563,250,5.1,"401,000 ",Petrol,5,850,2850
ROLLS ROYCE,PHANTOM CELESTIAL,V12,"6,749 ",563,250,5.3,"515,000 ",Petrol,5,900,2500
ROLLS ROYCE,GHOST MYSORE,V12,"6,749 ",563,250,4.9,"375,000 ",Petrol,5,900,2500
ROLLS ROYCE,WRAITH LUMINARY,V12,"6,592 ",623,250,4.5,"389,000 ",Petrol,4,800,2450
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,"6,592 ",563,250,4.8,"439,000 ",Petrol,4,840,2450
ROLLS ROYCE,CULLINAN RED DIAMOND,V12,"6,749 ",563,250,5.1,"421,000 ",Petrol,5,850,2850
AUDI,R8 V10 PLUS,V10,"5,204 ",610,330,3.2,"194,000 ",Petrol,2,560,1700
AUDI,RS7 SPORTBACK,V8,"3,993 ",591,305,3.6,"114,000 ",Petrol,5,800,2000
AUDI,S8,V8,"3,993 ",563,305,4.3,"101,000 ",Petrol,5,800,1650
AUDI,RS6 AVANT,V8,"3,993 ",591,305,3.6,"109,000 ",Petrol,5,800,1650
AUDI,S7 SPORTBACK,V8,"3,993 ",563,305,4.3,"96,000 ",Petrol,5,650,2000
AUDI,A8,V6,"2,995 ",335,250,5.7,"86,000 ",Petrol,5,600,1550
AUDI,S5 COUPE,V6,"2,995 ",349,250,4.8,"64,000 ",Petrol,4,500,1500
AUDI,SQ5,V6,"2,995 ",349,250,5.4,"62,000 ",Petrol,5,500,1900
AUDI,S4 SEDAN,V6,"2,995 ",349,250,4.7,"59,000 ",Petrol,5,500,1550
AUDI,S3 SEDAN,I4,"1,984 ",306,250,4.8,"52,000 ",Petrol,5,400,1300
AUDI,Q7,V6,"2,995 ",335,250,6.3,"60,000 ",Petrol,7,600,2050
AUDI,Q5,I4,"1,984 ",248,240,6.3,"43,000 ",Petrol,5,500,1650
AUDI,A7,V6,"2,995 ",335,250,5.7,"68,000 ",Petrol,5,600,1550
AUDI,A6,V6,"2,995 ",335,250,5.7,"58,000 ",Petrol,5,600,1550
AUDI,A5 COUPE,I4,"1,984 ",248,240,6.3,"45,000 ",Petrol,4,500,1250
AUDI,A4,I4,"1,984 ",248,240,6.5,"39,000 ",Petrol,5,400,1300
AUDI,Q3,I4,"1,984 ",248,230,7.3,"35,000 ",Petrol,5,400,1650
AUDI,TRON,ELECTRIC,95 kwh,402,200,5.5,"75,000 ",Electric,5,664,1300
AUDI,TRONSPORTBACK,ELECTRIC,95 kwh,402,200,5.5,"78,000 ",Electric,5,664,1650
AUDI,TT COUPE,I4,"1,984 ",248,250,5.3,"49,000 ",Petrol,2,400,1200
BMW,I8 ROADSTER,ELECTRIC MOTOR,11.6 kwh,369,250,4.4,"165,000 ",Hybrid,2,570,1020
BMW,330i,I4,"1,998 ",255,250,5.6,"45,000 ",Petrol,5,400,1300
BMW,M340i XDRIVE,I6,"2,998 ",382,250,4.1,"57,000 ",Petrol,5,500,1550
BMW,430i COUPE,I4,"1,998 ",255,250,5.8,"48,000 ",Petrol,4,400,1250
BMW,M4 COMPETITION,I6,"2,993 ",503,290,3.8,"81,000 ",Petrol,4,650,1500
BMW,530i,I4,"1,998 ",248,250,5.9,"57,000 ",Petrol,5,400,1300
BMW,M550i XDRIVE,V8,"4,395 ",523,250,3.6,"78,000 ",Petrol,5,650,1750
BMW,118i,I3,"1,499 ",136,213,8.5,"32,000 ",Petrol,5,220,1150
BMW,128ti,I4,"1,998 ",261,250,6.1,"42,000 ",Petrol,5,400,1300
BMW,M135i XDRIVE,I4,"1,998 ",302,250,4.8,"30,000 ",Petrol,5,450,1300
BMW,116D,I3,"1,496 ",116,200,10.3,"30,000 ",Diesel,5,280,1200
BMW,120D XDRIVE,I4,"1,995 ",190,230,6.9,"38,000 ",Diesel,5,400,1350
BMW,116i,I3,"1,499 ",109,200,10.9,"28,000 ",Petrol,5,200,1150
BMW,118D,I4,"1,995 ",150,216,8.4,"34,000 ",Diesel,5,380,1400
BMW,120i,I4,"1,998 ",178,230,7.1,"37,000 ",Petrol,5,300,1300
BMW,125i,I4,"1,998 ",224,240,6.1,"42,000 ",Petrol,5,400,1300
BMW,114D,I3,"1,496 ",95,185,12.2,"27,000 ",Diesel,5,270,1200
BMW,114i,I4,"1,598 ",102,195,11.2,"26,000 ",Petrol,5,200,1350
BMW,125D,I4,"1,995 ",224,240,6.3,"44,000 ",Diesel,5,400,1350
BMW,118i XDRIVE,I3,"1,499 ",136,211,8.9,"34,000 ",Petrol,5,250,1150
BMW,116D EFFICIENTDYNAMICS,I3,"1,496 ",116,200,10.9,"30,000 ",Diesel,5,270,1200
BMW,118i SPORTLINE,I3,"1,499 ",136,213,8.5,"35,000 ",Petrol,5,250,1500
BMW,118i M SPORT,I3,"1,499 ",136,213,8.5,"37,000 ",Petrol,5,250,1500
BMW,120i M SPORT,I4,"1,998 ",178,230,7.1,"39,000 ",Petrol,5,300,1650
BMW,116i EFFICIENTDYNAMICS,I4,"1,598 ",109,195,10.9,"29,000 ",Petrol,5,200,1350
BMW,116D ADVANTAGE,I3,"1,496 ",116,200,10.5,"31,000 ",Diesel,5,270,1200
BMW,120D EFFICIENTDYNAMICS,I4,"1,995 ",163,225,7.7,"39,000 ",Diesel,5,400,1350
BMW,118i SHADOW LINE,I3,"1,499 ",136,213,8.5,"36,000 ",Petrol,5,250,1150
BMW,118D SPORT LINE,I4,"1,995 ",150,216,8.4,"36,000 ",Diesel,5,380,1750
BMW,120i XDRIVE,I4,"1,998 ",178,230,7.2,"40,000 ",Petrol,5,300,1300
BMW,114D SPORT LINE,I3,"1,496 ",95,185,12.2,"28,000 ",Diesel,5,270,1550
BMW,118i URBAN LINE,I3,"1,499 ",136,213,8.5,"35,000 ",Petrol,5,250,1150
VOLVO,XC90,I6,"1,969 ",247,200,6.5,"60,000 ",Petrol/Diesel,7,400,1500
VOLVO,XC60,I6,"1,969 ",247,220,6.4,"55,000 ",Petrol/Diesel,5,400,1350
VOLVO,S90,I6,"1,969 ",295,250,5.9,"60,000 ",Petrol/Diesel,5,400,1350
KIA,SPORTAGE LX,I4,"2,480 ",187,200,8.0,"27,000 ",Petrol,5,250,1800
KIA,SPORTAGE EX,I4,"2,480 ",187,200,8.0,"30,000 ",Petrol,5,250,1800
KIA,LINE,I4,"2,480 ",187,200,8.0,"32,000 ",Petrol,5,350,1450
KIA,SPORTAGE SX TURBO,I4,"1,998 ",240,210,6.7,"36,000 ",Petrol,5,400,1650
KIA,SPORTAGE NIGHTFALL EDITION,I4,"2,480 ",187,200,8.0,"33,000 ",Petrol,5,350,1800
HONDA,CIVIC TYPE R,I4,"1,996 ",315,272,5.7,"44,000 ",Petrol,5,400,1300
KIA,SPORTAGE PHEV,I4 + ELECTRIC,"1,600  / 13.8 kwh",261,180,8.0,"41,000 ",inHybrid,5,350,1850
KIA,SPORTAGE 2024(BASE MODEL),I4,"2,480 ",187,200,8.0,"26,000 ",Petrol,5,250,1800
KIA,SPORTAGE 2024(TOP TRIM),I4,"1,998 ",240,210,6.7,"38,000 ",Petrol,5,400,1650
KIA,SPORTAGE 2024(BASE AWD),I4,"2,480 ",187,200,8.3,"29,000 ",Petrol/AWD,5,250,1850
KIA,LINE,I4,"2,480 ",187,200,8.0,"32,500 ",Petrol,5,350,1450
KIA,SPORTAGE 2024(S TRIM),I4,"2,480 ",187,200,8.2,"28,000 ",Petrol,5,250,1850
HONDA,ACCORD,I4,"1,498 ",192,201,7.1,"29,400 ",Petrol,5,370,1100
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600  / 1.49 kwh",227,180,8.0,"37,000 ",Hybrid,5,350,1850
KIA,INHYBRIDAWD),I4 + ELECTRIC,"1,598  / 13.8 kwh",261,180,7.9,"42,000 ",inHybrid,5,350,1500
KIA,PRO),I4,"2,480 ",187,200,8.1,"36,000 ",Petrol,5,400,1500
KIA,PROPRESTIGE),I4,"2,480 ",187,200,8.1,"38,000 ",Petrol,5,400,1500
KIA,SPORTAGE 2024(SX TURBO AWD),I4,"1,998 ",240,210,6.5,"40,000 ",Petrol/AWD,5,400,1650
KIA,SPORTAGE 2024(BASE FWD),I4,"2,480 ",187,200,8.5,"26,500 ",Petrol,5,250,1850
HONDA,V,I4,"1,498 ",190,186,8.2,"30,000 ",Petrol/Hybrid,5,400,1350
HONDA,PILOT,V6,"3,471 ",285,209,6.3,"40,000 ",Petrol,8,360,2150
HONDA,CIVIC HATCHBACK,I4,"1,498 ",180,220,6.8,"26,350 ",Petrol,5,300,1100
TOYOTA,CAMRY,V6,"3,500 ",301,220,6.0,"27,000 ",Petrol/Hybrid,5,250,1850
TOYOTA,COROLLA,I4,"1,798 ",139,180,9.4,"22,500 ",Petrol/Hybrid,5,200,1550
TOYOTA,PRIUS,I4,"1,798 ",121,180,10.5,"26,700 ",Hybrid,5,142,1550
TOYOTA,RAV4,I4,"2,494 ",203,200,8.1,"27,100 ",Petrol/Hybrid,5,400,2050
TOYOTA,HIGHLANDER,V6,"3,456 ",295,220,7.2,"38,400 ",Petrol/Hybrid,7,370,2350
TOYOTA,4RUNNER,V6,"3,956 ",270,200,7.5,"37,400 ",Petrol,5,400,2000
TOYOTA,TACOMA,I4,"2,694 ",159,180,9.5,"26,400 ",Petrol,5,400,2100
TOYOTA,TUNDRA,V8,"5,663 ",381,220,6.7,"39,900 ",Petrol,5,650,2450
TOYOTA,AVALON,V6,"3,456 ",301,220,6.9,"41,400 ",Petrol,5,400,1650
TOYOTA,MIRAI,I4,"1,798 ",151,180,9.2,"52,400 ",Hydrogen,5,335,1350
TOYOTA,SIENNA,V6,"2,494 ",245,190,8.0,"44,150 ",Petrol/Hybrid,7,360,1800
TOYOTA,VENZA,I4,"2,494 ",219,200,7.5,"33,400 ",Hybrid,5,400,1650
